2021-11-22T20:59:19.4543161+05:30  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-11-22T20:59:19.4633680+05:30  [INF] Hosting environment: "Development" (c3307c92)
2021-11-22T20:59:19.4650318+05:30  [INF] Content root path: "D:\HelloMVCWorld\HelloMVCWorld" (b5d60022)
2021-11-22T20:59:25.4735353+05:30 8000000c-000b-fe00-b63f-84710c7967bb [INF] Request Start / (f1db6d29)
2021-11-22T20:59:25.7578052+05:30 8000000c-000b-fe00-b63f-84710c7967bb [INF] Request Executed / (4b4fca04)
2021-11-22T20:59:25.8010492+05:30 80000039-0008-fe00-b63f-84710c7967bb [INF] Request Start /favicon.ico (5236a2f7)
2021-11-22T20:59:25.8051297+05:30 80000039-0008-fe00-b63f-84710c7967bb [INF] Request Executed /favicon.ico (e072cd57)
2021-11-22T20:59:25.8101832+05:30 80000026-000a-fc00-b63f-84710c7967bb [INF] Request Start /Error/Error404Handling (f8219ab5)
2021-11-22T20:59:25.8174118+05:30 80000026-000a-fc00-b63f-84710c7967bb [INF] Request Executed /Error/Error404Handling (01d1772a)
2021-11-22T21:00:09.2113482+05:30 80000028-000a-fc00-b63f-84710c7967bb [INF] Request Start /Sessions (3edf5213)
2021-11-22T21:00:13.3925833+05:30 80000028-000a-fc00-b63f-84710c7967bb [INF] Request Executed /Sessions (9d41467d)
2021-11-22T21:00:13.4369696+05:30 8000003b-0008-fe00-b63f-84710c7967bb [INF] Request Start /favicon.ico (5236a2f7)
2021-11-22T21:00:13.4395545+05:30 8000003b-0008-fe00-b63f-84710c7967bb [INF] Request Executed /favicon.ico (e072cd57)
2021-11-22T21:00:13.4451060+05:30 80000026-0002-ff00-b63f-84710c7967bb [INF] Request Start /Error/Error404Handling (f8219ab5)
2021-11-22T21:00:13.4491014+05:30 80000026-0002-ff00-b63f-84710c7967bb [INF] Request Executed /Error/Error404Handling (01d1772a)
